Transaction Date,Transaction ID,Customer ID,Product ID,Discount Code,Amount
2025-01-05,TR101,AB1234,1001,ABCDEF,340.0
2025-01-05,TR101,AB1234,1011,ABCDEF,680.0
2025-01-06,TR102,CD5678,1002,,400.0
2025-01-10,TR103,EF9012,1004,GHIJKL,450.0
2025-01-10,TR103,EF9012,1005,GHIJKL,450.0
2025-01-12,TR104,GH3456,1003,,400.0
2025-01-13,TR105,IJ7890,1013,MNOPQR,640.0
2025-01-13,TR105,IJ7890,1012,MNOPQR,640.0
2025-01-14,TR106,KL2345,1006,STUVWX,450.0
2025-01-14,TR106,KL2345,1007,STUVWX,450.0
2025-01-17,TR107,MN6789,1010,YZABCD,720.0
2025-01-17,TR107,MN6789,1008,YZABCD,360.0
2025-01-18,TR108,OP1234,1020,EFGHIJ,765.0
2025-01-19,TR109,QR5678,1009,KLMNOP,510.0
2025-01-19,TR109,QR5678,1024,KLMNOP,765.0
2025-01-21,TR110,ST9012,1018,QWERTY,720.0
2025-01-24,TR111,UV3456,1021,,500.0
2025-01-24,TR111,UV3456,1022,,500.0
2025-01-24,TR111,UV3456,1023,,500.0
2025-01-25,TR112,WX7890,1019,ZXCVBN,765.0
2025-01-25,TR112,WX7890,1020,ZXCVBN,765.0
2025-01-26,TR113,YZ2345,1025,ASDFGH,765.0
2025-01-26,TR113,YZ2345,1026,ASDFGH,765.0
2025-01-27,TR114,BA6789,1001,,400.0
2025-01-27,TR114,BA6789,1004,,500.0
2025-01-28,TR115,DC1234,1015,QAZWSX,255.0
2025-01-28,TR115,DC1234,1014,QAZWSX,255.0
2025-01-28,TR115,DC1234,1016,QAZWSX,255.0
2025-01-30,TR116,EF5678,1006,,500.0
2025-01-30,TR117,GH9012,1027,EDCRFV,720.0
2025-01-30,TR117,GH9012,1005,EDCRFV,425.0
2025-02-02,TR118,IJ3456,1019,,900.0
2025-02-08,TR119,KL7890,1024,TGBYHN,765.0
2025-02-08,TR119,KL7890,1026,TGBYHN,765.0
2025-02-09,TR120,MN2345,1002,PLMNKO,360.0
2025-02-09,TR120,MN2345,1009,PLMNKO,540.0
2025-02-10,TR121,OP6789,1013,,800.0
2025-02-10,TR121,OP6789,1011,,800.0
2025-02-12,TR122,QR1234,1007,UJMKIH,510.0
2025-02-12,TR122,QR1234,1010,UJMKIH,720.0
